2025-01-21 14:23:04,090 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:09,172 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:09,172 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:09,173 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:09,174 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:09,174 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:09,174 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:14,253 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:14,253 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:14,253 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:14,254 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:14,254 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:14,254 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:19,338 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:19,339 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:19,339 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:19,340 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:19,340 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:19,340 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:24,423 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:24,423 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:24,424 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:24,424 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:24,424 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:24,424 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:29,519 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:29,519 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:29,520 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:29,521 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:29,521 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:34,615 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:34,616 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:34,616 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:34,617 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:34,617 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:23:39,702 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:23:39,702 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:23:39,703 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:39,703 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:23:39,703 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:23:44,791 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:23:44,792 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:23:44,792 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:44,792 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:23:44,793 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:23:49,876 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:23:49,876 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:23:49,877 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:49,877 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:23:49,877 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:23:54,947 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:23:54,947 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:23:54,947 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:54,947 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:23:54,948 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:00,036 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:00,037 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:00,038 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:00,038 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:00,039 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:05,123 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:05,123 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:05,123 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:05,124 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:05,124 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:10,230 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:10,231 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:10,231 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:10,231 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:10,231 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:15,322 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:15,322 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:15,323 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:15,323 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:15,324 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:20,404 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:20,404 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:20,405 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
